,Unnamed: 0,Index,Filename,Path,Emotion,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
4384,4384,4384,SN003Z_SupriseText_TrailNo_1008.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN003\neutral\SN003Z_SupriseText_TrailNo_1008.jpg,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22423,22423,22423,SN027Z_SadnessText_TrailNo_2012.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\neutral\SN027Z_SadnessText_TrailNo_2012.jpg,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14827,14827,14827,SN010Z_SupriseText_TrailNo_2158.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN010\neutral\SN010Z_SupriseText_TrailNo_2158.jpg,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22395,22395,22395,SN027Z_SadnessText_TrailNo_1159.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\neutral\SN027Z_SadnessText_TrailNo_1159.jpg,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22421,22421,22421,SN027Z_SadnessText_TrailNo_2010.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\neutral\SN027Z_SadnessText_TrailNo_2010.jpg,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6636,6636,6636,SN004Y_FearDescribed_TrailNo_2080.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN004\neutral\SN004Y_FearDescribed_TrailNo_2080.jpg,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13556,13556,13556,SN010Y_FearDescribed_TrailNo_1015.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN010\neutral\SN010Y_FearDescribed_TrailNo_1015.jpg,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7021,7021,7021,SN004Y_SupriseDescribed_TrailNo_2014.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN004\neutral\SN004Y_SupriseDescribed_TrailNo_2014.jpg,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13735,13735,13735,SN010Y_HappyDescribed_TrailNo_3010.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN010\neutral\SN010Y_HappyDescribed_TrailNo_3010.jpg,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17073,17073,17073,SN013Z_SupriseText_TrailNo_2123.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN013\neutral\SN013Z_SupriseText_TrailNo_2123.jpg,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1466,1466,1466,SN001Z_FearText_TrailNo_2002.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN001\neutral\SN001Z_FearText_TrailNo_2002.jpg,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11378,11378,11378,SN009Z_AngerText_TrailNo_4010.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN009\neutral\SN009Z_AngerText_TrailNo_4010.jpg,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13861,13861,13861,SN010Y_SadDescribed_TrailNo_2122.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN010\neutral\SN010Y_SadDescribed_TrailNo_2122.jpg,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7417,7417,7417,SN004Z_HappinessText_TrailNo_2030.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN004\neutral\SN004Z_HappinessText_TrailNo_2030.jpg,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11703,11703,11703,SN009Z_HappinessText_TrailNo_2078.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN009\neutral\SN009Z_HappinessText_TrailNo_2078.jpg,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14126,14126,14126,SN010Z_DisgustText_TrailNo_2005.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN010\neutral\SN010Z_DisgustText_TrailNo_2005.jpg,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16079,16079,16079,SN013Y_HappyDescribed_TrailNo_1001.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN013\neutral\SN013Y_HappyDescribed_TrailNo_1001.jpg,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16679,16679,16679,SN013Z_FearText_TrailNo_2043.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN013\neutral\SN013Z_FearText_TrailNo_2043.jpg,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
